,word,furigana,translation,jlpt_level,romaji,num_characters,stroke_count
4873,性質,せいしつ,"nature, property, disposition",N3,seishitsu,2,23
4874,精神,せいしん,"mind, soul, spirit",N3,seishin,2,23
4875,成人,せいじん,adult,N3,seijin,2,8
4876,精々,せいぜい,"at the most, at best",N3,seizei,2,14
4877,成績,せいせき,"grade (i.e., on a test), academic record",N3,seiseki,2,23
4878,製造,せいぞう,"manufacture, production",N3,seizou,2,24
4879,贅沢,ぜいたく,"luxury, extravagance",N3,zeitaku,2,25
4880,成長,せいちょう,growth,N3,seichou,2,14
4881,生長,せいちょう,growth,N3,seichou,2,13
4882,制度,せいど,"system, institution",N3,seido,2,17
4883,青年,せいねん,"youth, young man",N3,seinen,2,14
4884,生年月日,せいねんがっぴ,birth date,N3,seinengappi,4,19
4885,製品,せいひん,"manufactured goods, finished goods",N3,seihin,2,23
4886,政府,せいふ,"government, administration",N3,seifu,2,17
4887,生物,せいぶつ,"living thing, organism",N3,seibutsu,2,13
4888,生命,せいめい,life,N3,seimei,2,13
4889,整理,せいり,"sorting, arrangement",N3,seiri,2,27
4890,咳,せき,cough,N3,seki,1,9
4891,石炭,せきたん,coal,N3,sekitan,2,14
4892,責任,せきにん,"duty, responsibility",N3,sekinin,2,17
4893,石油,せきゆ,"oil, petroleum, kerosene",N3,sekiyu,2,13
4894,世間,せけん,"world, society",N3,seken,2,17
4895,説,せつ,theory,N3,setsu,1,14
4896,積極的,せっきょくてき,"positive, active, proactive",N3,sekkyokuteki,3,36
4897,設計,せっけい,"plan, design",N3,sekkei,2,20
4898,絶対,ぜったい,"definitely, without fail, absoluteness",N3,zettai,2,19
4899,セット,セット,set,N3,setto,3,5
4900,愛,あい,love,N3,ai,1,13
4901,相変わらず,あいかわらず,"as ever, as usual",N3,aikawarazu,5,26
4902,愛情,あいじょう,"love, affection",N3,aijou,2,24
4903,合図,あいず,"sign, signal",N3,aizu,2,13
4904,アイスクリーム,アイスクリーム,ice cream,N3,aisukuriーmu,7,12
4905,愛する,あいする,to love,N3,aisuru,3,16
4906,相手,あいて,partner; addressee; the person you are talking to,N3,aite,2,13
4907,あいにく,あいにく,unfortunately,N3,ainiku,4,9
